work_id,topic_id,title,topic_name
https://openalex.org/W13073047,0,PARAMETRIC MODELLING FOR MODULAR PREFABRICATED BRIDGES,Precast & Structural Performance
https://openalex.org/W132126491,-1,Development of 3D Information Models for the Maintenance of Subway Infrastructures,
https://openalex.org/W1512587879,0,Design of Horizontal Shear Strength of the Shear Connectors Between Precast Decks and PSC Girders,Precast & Structural Performance
https://openalex.org/W1598298067,3,Highly stable and efficient solid-state solar cells based on methylammonium lead bromide (CH3NH3PbBr3) perovskite quantum dots,Advanced Materials & Manufacturing
https://openalex.org/W1825902449,0,Experiments on flexural strength on composite modular bridge pier cap for CFT columns,Precast & Structural Performance
https://openalex.org/W1847398994,3,Evaluation of a metal free dye for efficient dye sensitized solar cells based on hydrothermally synthesized TiO<sub>2</sub> nanoflowers,Advanced Materials & Manufacturing
https://openalex.org/W1971637512,3,Surfactant free most probable TiO2 nanostructures via hydrothermal and its dye sensitized solar cell properties,Advanced Materials & Manufacturing
https://openalex.org/W1979033790,0,Stress concentration factors of N-joints of concrete-filled tubes subjected to axial loads,Precast & Structural Performance
https://openalex.org/W1979935071,0,Structural behavior of a continuous composite truss with a composite bottom chord,Precast & Structural Performance
https://openalex.org/W1987985219,3,Cyclic behavior of prefabricated circular composite columns with low steel ratio,Advanced Materials & Manufacturing
https://openalex.org/W1996343295,0,Design of transverse joints in composite bridges with precast decks,Precast & Structural Performance
https://openalex.org/W2001960194,0,Testing a composite box-girder bridge with precast decks,Precast & Structural Performance
https://openalex.org/W2002395634,3,Evaluation of Close-Range Blast Pressure Mitigation using a Sacrificial Member,Advanced Materials & Manufacturing
https://openalex.org/W2004553717,0,Design of Double Composite Bridges using High Strength Steel,Precast & Structural Performance
https://openalex.org/W2005934948,0,Performance of stud clusters in precast bridge decks,Precast & Structural Performance
https://openalex.org/W2006093670,0,Experimental investigation of double composite twin-girder railway bridges,Precast & Structural Performance
https://openalex.org/W2015053458,0,Experimental evaluation of seismic performance of precast segmental bridge piers with a circular solid section,Precast & Structural Performance
https://openalex.org/W2017224783,0,Static behavior of large stud shear connectors,Precast & Structural Performance
https://openalex.org/W2021571653,0,Cyclic response of concrete-encased composite columns with low steel ratio,Precast & Structural Performance
https://openalex.org/W2024675841,0,Development and Application of Precast Decks for Composite Bridges,Precast & Structural Performance
https://openalex.org/W2025594878,0,Cracking of continuous composite beams with precast decks,Precast & Structural Performance
https://openalex.org/W2025847870,3,Evaluation of various diameters of titanium oxide nanofibers for efficient dye sensitized solar cells synthesized by electrospinning technique: A systematic study and their application,Advanced Materials & Manufacturing
https://openalex.org/W2030810864,0,Design of shear connection in composite steel and concrete bridges with precast decks,Precast & Structural Performance
https://openalex.org/W2031136180,3,Shake table tests of steel embedded composite columns under moderate near-fault motion,Advanced Materials & Manufacturing
https://openalex.org/W2040375073,0,Evaluation of Structural Performance of Precast Modular Pier Cap,Precast & Structural Performance
https://openalex.org/W2059502518,0,Bridge information models for construction of a concrete box-girder bridge,Precast & Structural Performance
https://openalex.org/W2060704654,3,Design of protective structures with aluminum foam panels,Advanced Materials & Manufacturing
https://openalex.org/W2062977508,0,"Statistical Properties of Material Strength of Concrete, Re-Bar and Strand Used in Domestic Construction Site",Precast & Structural Performance
https://openalex.org/W2068715350,0,Experiments on limit state design of large stud shear connectors,Precast & Structural Performance
https://openalex.org/W2073605666,3,Static and fatigue behavior of large stud shear connectors for steel–concrete composite bridges,Advanced Materials & Manufacturing
https://openalex.org/W2075851616,0,The behaviour of shear connections in a composite beam with a full-depth precast slab,Precast & Structural Performance
https://openalex.org/W2077270039,3,Single-step synthesis of 3D nanostructured TiO2 as a scattering layer for vertically aligned 1D nanorod photoanodes and their dye-sensitized solar cell properties,Advanced Materials & Manufacturing
https://openalex.org/W2081855053,0,Application of 3D Bridge Information Modeling to Design and Construction of Bridges,Precast & Structural Performance
https://openalex.org/W2087221582,3,Experiments on blast protective systems using aluminum foam panels,Advanced Materials & Manufacturing
https://openalex.org/W2087809966,3,Successive ionic layer adsorption and reaction deposited kesterite Cu2ZnSnS4 nanoflakes counter electrodes for efficient dye-sensitized solar cells,Advanced Materials & Manufacturing
https://openalex.org/W2088745113,0,Inelastic behaviour of externally prestressed continuous composite box-girder bridge with prefabricated slabs,Precast & Structural Performance
https://openalex.org/W2110929273,0,Shear connections in prestressed beams with precast slabs,Precast & Structural Performance
https://openalex.org/W2115951371,3,Single step synthesized 1D TiO2 vertically aligned nanorod arrays for CdS sensitized quantum dot sensitized solar cells,Advanced Materials & Manufacturing
https://openalex.org/W2125871928,0,Evaluation of Flexural Behavior of a Modular Pier with Circular CFT,Precast & Structural Performance
https://openalex.org/W2129670673,3,Polyvinylpyrrolidone (PVP) assisted single‐step synthesis of kesterite Cu<sub>2</sub>ZnSnS<sub>4</sub> nanoparticles by solvothermal process,Advanced Materials & Manufacturing
https://openalex.org/W2139711739,0,Experimental Study on Shear Connector for Precast Concrete Decks,Precast & Structural Performance
https://openalex.org/W2141276063,0,Effects of Group Arrangement on the Ultimate Strength of Stud Shear Connection,Precast & Structural Performance
https://openalex.org/W2145691981,3,Mitigation of Blast Effects on Protective Structures by Aluminum Foam Panels,Advanced Materials & Manufacturing
https://openalex.org/W2166704168,3,Multi-functional epoxy/SrTiO/sub 3/ ceramic powder embedded capacitor films(ECFs) for organic substrates,Advanced Materials & Manufacturing
https://openalex.org/W2193619089,3,In situ processed gold nanoparticle-embedded TiO<sub>2</sub>nanofibers enabling plasmonic perovskite solar cells to exceed 14% conversion efficiency,Advanced Materials & Manufacturing
https://openalex.org/W2199166213,3,Experiments on Shear Connections of PSC Girders with Prefabricated Slabs,Advanced Materials & Manufacturing
https://openalex.org/W2231886258,0,Enhanced design of precast concrete columns by optimal axial steels,Precast & Structural Performance
https://openalex.org/W2274994219,3,Surface passivation of hydrothermally grown 1D TiO₂ nanorod arrays for efficient solid state perovskite solar cells,Advanced Materials & Manufacturing
https://openalex.org/W2283439987,3,Hierarchical SnO2 microspheres prepared by hydrothermal process for efficient improvement of dye-sensitized solar cell properties,Advanced Materials & Manufacturing
https://openalex.org/W228751379,2,Development of BIM for a Maintenance System of Subway Infrastructures,Construction Maintenance & Management
https://openalex.org/W2292833254,0,3D digital fabrication and erection technologies for prefabricated bridges,Precast & Structural Performance
https://openalex.org/W229768725,0,Behavior of Negative Moment Region of Continuous Double Composite Railway Bridges,Precast & Structural Performance
https://openalex.org/W2302051538,3,Evaluation of efficient solar cells using the Synthesis of CH₃NH₃PbI₃ perovskite,Advanced Materials & Manufacturing
https://openalex.org/W230445398,3,Crack Width Control and Flexural Behavior of Continuous Composite Beams,Advanced Materials & Manufacturing
https://openalex.org/W2314880587,3,Confinement Effects on the Strength of Shear Connection,Advanced Materials & Manufacturing
https://openalex.org/W2316526146,3,Inelastic Behavior of Continuous Hybrid Double-Composite Girders,Advanced Materials & Manufacturing
https://openalex.org/W2319667585,0,Design Codes on Stud Shear Connectors for New Details,Precast & Structural Performance
https://openalex.org/W2320079528,0,Experiments on Shear Connections of PSC Girders with Prefabricated Slabs,Precast & Structural Performance
https://openalex.org/W2321270117,3,Ultrathin Atomic Layer Deposited TiO<sub>2</sub> for Surface Passivation of Hydrothermally Grown 1D TiO<sub>2</sub> Nanorod Arrays for Efficient Solid-State Perovskite Solar Cells,Advanced Materials & Manufacturing
https://openalex.org/W2321590661,3,Structural performance of composite joints using bent studs,Advanced Materials & Manufacturing
https://openalex.org/W2326583902,0,Three-Dimensional Information Model-Based Bridge Engineering in Korea,Precast & Structural Performance
https://openalex.org/W2327744324,0,Structural performance of precast segmental composite pier cap,Precast & Structural Performance
https://openalex.org/W2329229156,-1,Collaborative Design of High-speed Railway Lines using 3D information models,
https://openalex.org/W2332660335,-1,Development of Solution Algorithm for Multi-dimention Road Alignment Design Considering Low-Carbon,
https://openalex.org/W2335164121,0,Experiments on a Continuous Composite Truss Bridge with Concrete-Filled Lower Chords,Precast & Structural Performance
https://openalex.org/W2342448914,0,Inelastic Behavior of a Continuous Composite Box-Girder Bridge with Prefabricated Slabs,Precast & Structural Performance
https://openalex.org/W2345336453,0,Seismic performance of prefabricated bridge columns with combination of continuous mild reinforcements and partially unbonded tendons,Precast & Structural Performance
https://openalex.org/W2370417312,0,Development of Creative Design and Construction Methods of Bridge Piers using 3D Model,Precast & Structural Performance
https://openalex.org/W2403003448,0,Cyclic and static behaviors of CFT modular bridge pier with enhanced bracings,Precast & Structural Performance
https://openalex.org/W2407052613,0,Analytical evaluation of a modular CFT bridge pier according to directivity,Precast & Structural Performance
https://openalex.org/W2408729892,3,Improving Light Stability of Natural Rubber Latex Foam,Advanced Materials & Manufacturing
https://openalex.org/W2413080325,0,Determination of Effective Prestress of Post-tensioned Precast Bridge Piers,Precast & Structural Performance
https://openalex.org/W2464165275,3,Hydrothermal synthesis of rutile TiO2 bottle brush for efficient dye-sensitized solar cells,Advanced Materials & Manufacturing
https://openalex.org/W2472944573,0,Effects Of Partially Unbonded Tendons on Seismic Behavior of Precast Concrete Bridge Piers,Precast & Structural Performance
https://openalex.org/W2474936969,3,Reduced graphene oxide (rGO) grafted zinc stannate (Zn<sub>2</sub>SnO<sub>4</sub>) nanofiber scaffolds for highly efficient mixed-halide perovskite solar cells,Advanced Materials & Manufacturing
https://openalex.org/W2483288825,0,Reliability-based code calibration and features affecting probabilistic performance of concrete bridge,Precast & Structural Performance
https://openalex.org/W2487201178,0,Cyclic response of the precast SRC bridge piers,Precast & Structural Performance
https://openalex.org/W2489276056,0,Shake table studies of scaled reinforced concrete bridge piers subjected near-fault ground motions,Precast & Structural Performance
https://openalex.org/W2493836904,0,Rapid emergency replacement of fire-damaged composite bridges using precast decks,Precast & Structural Performance
https://openalex.org/W2500623864,3,"An experimental study on mechanical, fatigue and crack propagation properties of IMO type B CCS materials at room and cryogenic temperatures",Advanced Materials & Manufacturing
https://openalex.org/W2505937157,0,General design method for the shear connection according to failure modes,Precast & Structural Performance
https://openalex.org/W2556787336,0,Evaluation of Structural Behavior of Connections in Precast Arch Structures,Precast & Structural Performance
https://openalex.org/W2559919672,0,Experiments on prefabricated segmental bridge piers with continuous longitudinal reinforcing bars,Precast & Structural Performance
https://openalex.org/W2610278485,0,Seismic performance of repaired severely damaged precast columns with high-fiber reinforced cementitious composites,Precast & Structural Performance
https://openalex.org/W2615725039,3,Secondary Hydrothermally Processed Engineered Titanium Dioxide Nanostructures for Efficient Perovskite Solar Cells,Advanced Materials & Manufacturing
https://openalex.org/W2623087125,3,Quasi-static tests on concrete encased composite columns,Advanced Materials & Manufacturing
https://openalex.org/W2623185379,0,Evaluation of Strength and Ductility Reduction of Prestressed Concrete-Girders Due to Tendon Corrosion,Precast & Structural Performance
https://openalex.org/W2623504298,3,Static performance of concrete encased composite columns with low steel ratio,Advanced Materials & Manufacturing
https://openalex.org/W2690410595,0,Design and Constructability Improvement of 3D Concrete Formworks through Analysis of Construction Applications,Precast & Structural Performance
https://openalex.org/W2718221,0,Development of 3D Parametric Models for Modular Bridge Substructures,Precast & Structural Performance
https://openalex.org/W273835477,0,An Experimental Study on Joint Structures of Composite Truss Bridges,Precast & Structural Performance
https://openalex.org/W2789076726,-1,Bidirectional WDM self-healing ring network based on wavelength-interleaved bidirectional add/drop amplifier modules,
https://openalex.org/W2790101251,0,Three-Dimensional Information Delivery for Design and Construction of Prefabricated Bridge Piers,Precast & Structural Performance
https://openalex.org/W2793750085,0,INTEGRATED CONSTRUCTION PROJECT PLANNING USING 3D INFORMATION MODELS,Precast & Structural Performance
https://openalex.org/W2806899766,0,Static Behavior of Large Stud Shear Connectors,Precast & Structural Performance
https://openalex.org/W2887257261,0,BIM authoring for an image-based bridge maintenance system of existing cable-supported bridges,Precast & Structural Performance
https://openalex.org/W2911067195,0,Pre-construction Simulation of Precast Bridge Piers and Quality Management using Augmented Reality,Precast & Structural Performance
https://openalex.org/W2924365740,3,Cover Feature: Secondary Hydrothermally Processed Engineered Titanium Dioxide Nanostructures for Efficient Perovskite Solar Cells (Energy Technol. 10/2017),Advanced Materials & Manufacturing
https://openalex.org/W2939528016,0,Development of BIM-based bridge maintenance system for cable-stayed bridges,Precast & Structural Performance
https://openalex.org/W2939660190,0,Equivalent material model of corroded prestressing steel strand,Precast & Structural Performance
https://openalex.org/W2941176401,-1,The Measurement of Femoral Ant eversion Using Ultrasound,
https://openalex.org/W2947753446,2,Development of a bridge maintenance system for prestressed concrete bridges using 3D digital twin model,Construction Maintenance & Management
https://openalex.org/W2965063264,2,Digital Twin Models for Maintenance of Cable-Supported Bridges,Construction Maintenance & Management
https://openalex.org/W2977891894,3,Effect of Strain Rate on Impact Behavior of Aluminum Foam,Advanced Materials & Manufacturing
https://openalex.org/W2979769104,0,Bridge assessment for PSC Girder Bridge using Digital Twins Model,Precast & Structural Performance
https://openalex.org/W2980052117,2,BIM-based innovative bridge maintenance system using augmented reality technology,Construction Maintenance & Management
https://openalex.org/W2984875818,0,Probabilistic prediction of mechanical characteristics of corroded strands,Precast & Structural Performance
https://openalex.org/W298547597,0,Design of Shear connection in Full-Depth Precast Concrete Deck Bridge,Precast & Structural Performance
https://openalex.org/W3000978475,3,Probabilistic Prediction of Ultimate Strength and Strain of Corroded Steel Strands,Advanced Materials & Manufacturing
https://openalex.org/W3022616485,0,EVALUATION OF STRUCTURAL PERFORMANCE OF PRECAST MODULAR PIER CAP,Precast & Structural Performance
https://openalex.org/W3028048182,3,Assessment of Mechanical Properties of Corroded Prestressing Strands,Advanced Materials & Manufacturing
https://openalex.org/W3036418060,-1,Bridge-surface panoramic-image generation for automated bridge-inspection using deepmatching,
https://openalex.org/W3045678650,-1,Risk Analysis of Structures Subjected to Blast Loads Using 3D Information Models,
https://openalex.org/W3083522443,0,Quantitative Definition of Seismic Performance Levels for Precast Bridge Piers with Continuous Reinforcement,Precast & Structural Performance
https://openalex.org/W3095179587,0,A Master Digital Model for Suspension Bridges,Precast & Structural Performance
https://openalex.org/W3099222548,3,Flexural Behavior of Post-Tensioned Concrete Beams with Multiple Internal Corroded Strands,Advanced Materials & Manufacturing
https://openalex.org/W3123091429,0,Assessment of Mechanical Properties of Corroded Prestressing Strands,Precast & Structural Performance
https://openalex.org/W3135102693,0,Data-Driven Modeling Algorithms for Cable-Stayed Bridges Considering Mechanical Behavior,Precast & Structural Performance
https://openalex.org/W3145216051,3,Experimental study on PSC beams with various conditions of corrosion,Advanced Materials & Manufacturing
https://openalex.org/W315873639,0,Evaluation of Static Strength of Group Stud Shear Connection in Precast Concrete Deck Bridges,Precast & Structural Performance
https://openalex.org/W3175508817,0,A multi-scale framework for probabilistic structural analysis of PSC girders considering pit corrosion of prestressing wires,Precast & Structural Performance
https://openalex.org/W3183825684,0,The effect of wire rupture on flexural behavior of 45-year-old post-tensioned concrete bridge girders,Precast & Structural Performance
https://openalex.org/W3195577699,2,BIM-based mixed-reality application for bridge inspection and maintenance,Construction Maintenance & Management
https://openalex.org/W319728809,3,An Experimental Study on the Reduction in the Flexural Stiffness of Composite Beams under Fatigue Loading,Advanced Materials & Manufacturing
https://openalex.org/W3209954970,0,Development of a BIM-Based Master Digital Model Using Data-Driven Design for the Suspension Bridge,Precast & Structural Performance
https://openalex.org/W32278049,3,"Once again, organometallic tri-halide perovskites",Advanced Materials & Manufacturing
https://openalex.org/W334832556,0,Longitudinal Prestress Losses of Precast Concrete Bridge Deck,Precast & Structural Performance
https://openalex.org/W4230822578,0,Testing a composite box-girder bridge with precast decks,Precast & Structural Performance
https://openalex.org/W4285140913,0,BIM authoring and Data Models for Bridge Maintenance Systems in Korea,Precast & Structural Performance
https://openalex.org/W4285178841,3,Design for Manufacturing and Assembly-Oriented Parametric Modelling of Prefabricated Bridges,Advanced Materials & Manufacturing
https://openalex.org/W4310009741,0,Test Database for Corroded Prestressing Steel Strands Recovered from Aged Bridges,Precast & Structural Performance
https://openalex.org/W4312384721,0,Bridge Management Systems – A Crucial Link to BIM,Precast & Structural Performance
https://openalex.org/W4362570419,0,Digital Fabrication for DfMA of a Prefabricated Bridge Pier,Precast & Structural Performance
https://openalex.org/W4365509783,0,Detection and Length Measurement of Cracks Captured in Low Definitions Using Convolutional Neural Networks,Precast & Structural Performance
https://openalex.org/W4383873797,3,A diffusion-reaction computational study to reveal the depolymerization mechanisms of epoxy composites for recycling,Advanced Materials & Manufacturing
https://openalex.org/W4385989153,0,Bayesian inference of pit corrosion in prestressing strands using Markov Chain Monte Carlo method,Precast & Structural Performance
https://openalex.org/W4386744870,0,Development of BrIM-Based Bridge Maintenance System for Existing Bridges,Precast & Structural Performance
https://openalex.org/W4386745530,-1,Baseline digital twin models for key performance management of prefabricated bridges,
https://openalex.org/W4387697373,3,An Experimental Study on the Deterioration Behaviour of External Tendons Due to Corrosion,Advanced Materials & Manufacturing
https://openalex.org/W4390377736,2,Prescriptive maintenance of prestressed concrete bridges considering digital twin and key performance indicator,Construction Maintenance & Management
https://openalex.org/W4391157089,0,Augmented Data-Driven Machine Learning for Digital Twin of Stud Shear Connections,Precast & Structural Performance
https://openalex.org/W4391176516,-1,Recent BIM Developments and Applications on Railway Infrastructure,
https://openalex.org/W4391804846,0,BIM-based preassembly analysis for design for manufacturing and assembly of prefabricated bridges,Precast & Structural Performance
https://openalex.org/W4394778053,0,The Effect of Bedding Layer on the Strength of Shear Connection in Full-Depth Precast Deck,Precast & Structural Performance
https://openalex.org/W4399765580,3,Integrating Building Information Modeling Data with Algorithm-Driven Design for Manufacturing and Assembly and As-Built Models,Advanced Materials & Manufacturing
https://openalex.org/W4402479942,-1,Linking BrIM to BMS for bridges – validation of concepts,
https://openalex.org/W4402481207,0,BIM-data of baseline digital twins for a new bridge maintenance system,Precast & Structural Performance
https://openalex.org/W4403452765,0,Fatigue Life Prediction for Stud Shear Connectors Based on a Machine Learning Model,Precast & Structural Performance
https://openalex.org/W4405721982,0,Crack Width Investigation of Reinforced Concrete Beam with 3d Concrete Printed Formwork Using Modified Parameters,Precast & Structural Performance
https://openalex.org/W4405782722,0,Development of a Baseline Digital Twin Model as a Prerequisite for the Digital Twin Definition of a PSC-I Bridge with Model Updating Considering Member Stiffness,Precast & Structural Performance
https://openalex.org/W4406219482,0,Assessment Model for the Long-Term Behavior of Psc-I Girder Using a Bayesian Physics-Informed Neural Network,Precast & Structural Performance
https://openalex.org/W4406892815,0,Effects of 3d-Printed Concrete Permanent Formwork on the Flexural Behavior of Reinforced Concrete Beams: Experimental and Analytical Investigations,Precast & Structural Performance
https://openalex.org/W4407086150,0,Simulation-Based Optimization of Crane Lifting Position and Capacity Using a Construction Digital Twin for Prefabricated Bridge Deck Assembly,Precast & Structural Performance
https://openalex.org/W4407625673,-1,Assessment Model for the Long-Term Behavior of Psc-I Girder Using a Bayesian Physics-Informed Neural Network,
https://openalex.org/W4411115753,-1,Digital Twin Models for the assessment of existing,
https://openalex.org/W4411115803,0,Linking BrIM to BMS for bridges – Recommendations for integration into existing bridge management practice.,Precast & Structural Performance
https://openalex.org/W4411158234,0,Digital Twin Framework for Bridge Slab Deterioration: From 2D Inspection Data to Predictive 3D Maintenance Modeling,Precast & Structural Performance
https://openalex.org/W4412813923,0,Inspection Data-Driven Machine Learning Models for Predicting the Remaining Service Life of Deteriorating Bridge Decks,Precast & Structural Performance
https://openalex.org/W4412838813,0,Model-driven design of a prefabricated bridge considering key performance,Precast & Structural Performance
https://openalex.org/W4413122845,0,Inspection Data-Driven Machine Learning Models for Predicting the Remaining Service Life of Deteriorating Bridge Decks,Precast & Structural Performance
https://openalex.org/W4413332495,2,Experimental Data-Driven Framework for Quality Control of 3D-Printed Concrete Permanent Formworks,Construction Maintenance & Management
https://openalex.org/W4413881516,0,Data Delivery for Digital Twin Models of Prestressed Concrete Bridges,Precast & Structural Performance
https://openalex.org/W47649060,0,STRUCTURAL PERFORMANCE OF CONTINUITY CONNECTION FOR DECKED BULB TEE GIRDER,Precast & Structural Performance
https://openalex.org/W67673658,3,Experiments on the Composite Action of Steel Encased Composite Column,Advanced Materials & Manufacturing
https://openalex.org/W750705710,0,Shear Stiffness of Shear connections in Full-Depth Precast Concrete Deck Bridge,Precast & Structural Performance
https://openalex.org/W768043209,0,Determination Method for Longitudinal Prestressing Force in Precast Bridge Deck,Precast & Structural Performance
https://openalex.org/W787643403,3,Experimental Research on I-beam Composite Hollow Slabs,Advanced Materials & Manufacturing
https://openalex.org/W800549331,0,Crack Control of Negative Moment Regions in Continuous Composite Box-Girder Bridges with Precast Decks by External Prestress,Precast & Structural Performance
https://openalex.org/W804107133,0,Evaluation of Static Strength of Mixed Stud Shear Connection in Double Composite Bridges,Precast & Structural Performance
https://openalex.org/W815964794,0,The Static and Fatigue Behavior of Composite Steel-Concrete Beam with Precast Concrete Decks,Precast & Structural Performance
https://openalex.org/W836951016,0,Structural Performance of Longitudinal Joints of Hollow Composite Deck,Precast & Structural Performance
https://openalex.org/W845068382,3,Highly porous Zinc Stannate (Zn2SnO4) nanofibers scaffold photoelectrodes for efficient methyl ammonium halide perovskite solar cells,Advanced Materials & Manufacturing
https://openalex.org/W868657101,0,A Study on the Design of Shear Connector of Continuous Composite Bridge,Precast & Structural Performance
https://openalex.org/W870650459,3,Flexural Design of I-beam Composite Hollow Slab,Advanced Materials & Manufacturing
https://openalex.org/W870762527,0,Static and Fatigue Tests on Composite Bridge using Precast Concrete Decks,Precast & Structural Performance
https://openalex.org/W895511624,0,An Estimation of Ultimate Strength of Continuous Composite Box-Girder Bridge with Precast Decks,Precast & Structural Performance
https://openalex.org/W912544953,3,Evaluation of Structural Behavior of Large Studs Using Partial Composite Beams,Advanced Materials & Manufacturing
https://openalex.org/W916736151,0,Evaluation of the Horizontal Bond Strength at the Interface between Precast Decks and PSC Girders,Precast & Structural Performance
https://openalex.org/W921268467,0,Evaluation of Seismic Performance of Prefabricated Bridge Piers with a Circular Solid Section,Precast & Structural Performance
https://openalex.org/W930276183,3,Fatigue Behavior of Large Stud Shear Connectors,Advanced Materials & Manufacturing
https://openalex.org/W930590827,0,Longitudinal Behavior of Composite Bridge Decks,Precast & Structural Performance
